Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Stability Ball Dead Bug,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Supine,Single Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
Bodyweight Glute Bridge,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Bodyweight Bird Dog,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Quadruped,Single Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
Stability Ball Russian Twist,Beginner,Abdominals,Obliques,Rectus Abdominis,,Stability Ball,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Feet Elevated Crunch,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*
Ring Hanging Knee Raise,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Parallette Mountain Climber,Novice,Abdominals,Rectus Abdominis,,,Parallette Bars,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Parallette Push Up,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Knee Hover Bird Dog,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
Stability Ball V Up Pass,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Supine,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Dead Bug,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,Single Arm,Alternating,No Grip,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
Bodyweight Alternating Heel Taps,Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,None,0,Supine,Double Arm,Alternating,No Grip,No Load,No Elevation,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Flutter Kicks,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Kneeling Forearm Plank,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Extension,,,Frontal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Bodyweight Seated Ab Circles,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Seated Floor,No Arms,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Ring Hanging Oblique Knee Raise,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Stability Ball Stir The Pot,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Alternating Side Kick Through,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Rotational,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Animal Flow
Ring L Sit Hang Flutter Kicks,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Slam Ball Russian Twist,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Slam Ball,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Dumbbell Otis Up,Novice,Abdominals,Rectus Abdominis,,,Dumbbell,1,None,0,Supine,Double Arm,Continuous,Crush Grip,Overhead,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Single Arm Dumbbell Side Plank Reach Through,Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,None,0,Side Plank,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Ab Wheel Kneeling Rollout,Novice,Abdominals,Rectus Abdominis,,,Ab Wheel,1,None,0,Prone,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Cable Seated Crunch,Novice,Abdominals,Rectus Abdominis,,,Cable,1,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*
Cable Kneeling Crunch,Novice,Abdominals,Rectus Abdominis,,,Cable,1,None,0,Kneeling,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*
Medicine Ball V Up,Novice,Abdominals,Rectus Abdominis,,,Medicine Ball,1,None,0,Supine,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Suspension Knee Tuck,Novice,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Spinal Flexion,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Suspension Lateral Knee Tuck,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Push Up to Alternating Kick Through,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,1,None,0,Prone,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Combo Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Animal Flow
Single Arm Dumbbell Turkish Get Up,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,None,0,Supine,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Unsorted*
